Date,Price,Open,High,Low,Change %
"Apr 05, 2019",0.8915,0.891,0.8921,0.8891,0.03%
"Apr 04, 2019",0.8912,0.89,0.8925,0.8888,0.12%
"Apr 03, 2019",0.8901,0.8924,0.8929,0.8883,-0.26%
"Apr 02, 2019",0.8924,0.8915,0.8942,0.8914,0.07%
"Apr 01, 2019",0.8918,0.8914,0.8926,0.8888,0.10%
"Mar 31, 2019",0.891,0.8899,0.8913,0.8894,-0.05%
"Mar 29, 2019",0.8914,0.891,0.8922,0.889,0.10%
"Mar 28, 2019",0.8905,0.8892,0.8919,0.8879,0.13%
"Mar 27, 2019",0.8893,0.8873,0.8895,0.8861,0.18%
"Mar 26, 2019",0.8877,0.884,0.8881,0.8828,0.42%
"Mar 25, 2019",0.884,0.8838,0.8862,0.8824,-0.14%
"Mar 24, 2019",0.8852,0.8838,0.8862,0.8838,0.15%
"Mar 22, 2019",0.8839,0.879,0.8871,0.8776,0.53%
"Mar 21, 2019",0.8792,0.8762,0.8818,0.8742,0.35%
"Mar 20, 2019",0.8761,0.881,0.8822,0.8734,-0.54%
"Mar 19, 2019",0.8809,0.8821,0.8825,0.8801,-0.14%
"Mar 18, 2019",0.8821,0.8831,0.8834,0.8801,-0.14%
"Mar 17, 2019",0.8834,0.8828,0.8836,0.8823,0.04%
"Mar 15, 2019",0.883,0.8847,0.8851,0.8812,-0.19%
"Mar 14, 2019",0.8847,0.8829,0.8855,0.8818,0.20%
"Mar 13, 2019",0.8829,0.8859,0.8868,0.8818,-0.34%
"Mar 12, 2019",0.8859,0.8889,0.8895,0.8845,-0.34%
"Mar 11, 2019",0.8889,0.89,0.8912,0.8883,-0.16%
"Mar 10, 2019",0.8903,0.8894,0.8905,0.8894,0.08%
"Mar 08, 2019",0.8896,0.8935,0.8943,0.8892,-0.41%
"Mar 07, 2019",0.8933,0.8844,0.8949,0.8833,1.01%
"Mar 06, 2019",0.8844,0.8839,0.8861,0.883,0.01%
